,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,track_id
0,ed8c97de-d12d-41c1-bd96-cb3c924573ef,0.0823,0.92,0.489,0.052,0.0626,-9.19,0.0731,125.973,0.327,ed8c97de-d12d-41c1-bd96-cb3c924573ef
1,b226107f-7649-4765-b982-41bc4817859a,0.144,0.785,0.871,0.0,0.309,-2.692,0.265,87.248,0.315,b226107f-7649-4765-b982-41bc4817859a
2,9508aac8-8cd7-48b2-9036-76981b6fd4e6,0.022,0.713,0.38,0.13,0.308,-10.599,0.0668,139.728,0.833,9508aac8-8cd7-48b2-9036-76981b6fd4e6
3,0dd7fb45-8d19-4ff9-81a5-1363363dea7c,0.398,0.394,0.664,0.00439,0.201,-8.213,0.0357,129.822,0.242,0dd7fb45-8d19-4ff9-81a5-1363363dea7c
4,51283d70-0b24-4cee-b2c9-a06aa26dab99,0.0239,0.913,0.7,0.0,0.125,-3.411,0.0589,104.759,0.64,51283d70-0b24-4cee-b2c9-a06aa26dab99
5,ec3662da-9584-4646-8c0f-6f440f7e26da,0.0195,0.513,0.979,0.0951,0.0906,-6.362,0.0425,152.875,0.94,ec3662da-9584-4646-8c0f-6f440f7e26da
6,f97ea3b7-486b-44d4-aa72-397e0c958cb5,0.71,0.535,0.649,0.000236,0.0973,-7.638,0.205,86.761,0.796,f97ea3b7-486b-44d4-aa72-397e0c958cb5
7,e54d4d1f-9328-4bc3-b2ae-f513e43aca73,0.719,0.822,0.479,4.42e-05,0.124,-15.962,0.271,92.461,0.72,e54d4d1f-9328-4bc3-b2ae-f513e43aca73
8,a823f296-a89e-499d-87ba-97927997e0c4,0.175,0.467,0.432,0.001,0.226,-11.753,0.0283,142.642,0.238,a823f296-a89e-499d-87ba-97927997e0c4
9,f1d2f939-743a-430e-a43e-813f175d88f8,0.0968,0.836,0.494,0.0,0.078,-3.506,0.253,88.04,0.456,f1d2f939-743a-430e-a43e-813f175d88f8
10,f9ca5873-7e1c-45e7-bf80-8182681c1baa,0.0964,0.815,0.69,4.74e-05,0.235,-8.089,0.261,101.004,0.381,f9ca5873-7e1c-45e7-bf80-8182681c1baa
11,f33cac8b-95f5-40f4-ade1-51b028d6f5d5,0.171,0.558,0.764,0.0,0.144,-5.258,0.0437,92.042,0.181,f33cac8b-95f5-40f4-ade1-51b028d6f5d5
12,526b905c-9bfc-4999-a3fd-49fd34a0fb4a,0.0191,0.762,0.708,0.000374,0.145,-6.297,0.0573,131.22,0.639,526b905c-9bfc-4999-a3fd-49fd34a0fb4a
13,85ae8469-b8df-4209-b086-22991fb43a5a,0.251,0.727,0.696,0.0,0.0726,-4.472,0.0706,132.077,0.467,85ae8469-b8df-4209-b086-22991fb43a5a
14,9541613a-bde9-4c2b-a24b-6f2cc2a461ad,0.324,0.69,0.521,0.0,0.0534,-8.492,0.339,100.028,0.494,9541613a-bde9-4c2b-a24b-6f2cc2a461ad
15,6f1903c6-281c-4797-8e6a-5f9a18a63b47,0.446,0.559,0.473,0.00141,0.154,-7.712,0.0279,121.227,0.397,6f1903c6-281c-4797-8e6a-5f9a18a63b47
16,16b4db80-035c-4f2c-9ccb-e2257011a72e,0.151,0.729,0.442,0.0,0.189,-8.108,0.285,81.029,0.757,16b4db80-035c-4f2c-9ccb-e2257011a72e
17,e737aaaf-b25e-411d-b9e5-195fcc7b825f,0.712,0.647,0.265,0.0239,0.122,-14.036,0.0346,106.907,0.445,e737aaaf-b25e-411d-b9e5-195fcc7b825f
18,d3103396-a681-4603-9db0-9d8ee0869c54,0.783,0.357,0.305,0.506,0.0775,-11.548,0.0387,192.005,0.209,d3103396-a681-4603-9db0-9d8ee0869c54
19,34d95cf5-abb3-4b62-8b42-b352b292196e,0.133,0.731,0.737,0.0,0.0732,-6.861,0.194,98.004,0.616,34d95cf5-abb3-4b62-8b42-b352b292196e
20,40023cea-f079-470b-bc22-62014f49baa7,0.0157,0.532,0.819,0.0,0.371,-5.282,0.256,90.189,0.595,40023cea-f079-470b-bc22-62014f49baa7
21,ee884f15-64c6-4e9f-b4af-642e7a1caca1,0.0136,0.817,0.769,0.0437,0.456,-3.119,0.151,93.969,0.758,ee884f15-64c6-4e9f-b4af-642e7a1caca1
22,3cfea817-744c-44b6-9340-d4469c9e7aa7,0.0612,0.277,0.526,0.00344,0.0932,-12.139,0.0397,66.629,0.472,3cfea817-744c-44b6-9340-d4469c9e7aa7
23,c477a8b6-26ff-498d-a082-2d113d7a0820,0.911,0.637,0.107,0.00146,0.103,-18.759,0.0349,82.879,0.296,c477a8b6-26ff-498d-a082-2d113d7a0820
24,069cc7ca-daa4-40d7-a3a1-18b3047ad9df,0.264,0.778,0.697,2.78e-06,0.227,-6.958,0.235,94.015,0.751,069cc7ca-daa4-40d7-a3a1-18b3047ad9df
25,fd377df5-e0ae-4e50-bbf6-48a0bebfc230,0.0208,0.533,0.826,0.00188,0.348,-9.246,0.058,88.934,0.531,fd377df5-e0ae-4e50-bbf6-48a0bebfc230
26,3aaeabdf-a73c-4707-a5cd-9f157e0aa0f2,0.00209,0.599,0.692,0.000613,0.153,-7.345,0.19,89.037,0.401,3aaeabdf-a73c-4707-a5cd-9f157e0aa0f2
27,874f72ba-1546-4da1-b720-fcd8a6eac5db,0.337,0.555,0.902,0.0,0.152,-7.918,0.0958,156.108,0.62,874f72ba-1546-4da1-b720-fcd8a6eac5db
28,1e607665-35cb-429f-8829-624fe27a288c,0.802,0.182,0.238,0.945,0.106,-13.052,0.0295,85.275,0.0656,1e607665-35cb-429f-8829-624fe27a288c
29,7b03a44a-a2ca-422e-9e47-d1fcf544222f,0.0532,0.442,0.921,3.89e-06,0.0767,-5.086,0.0655,162.267,0.855,7b03a44a-a2ca-422e-9e47-d1fcf544222f
30,1ed3591d-ed11-444e-8d83-18855c664eec,0.34,0.457,0.408,9e-05,0.135,-8.305,0.0252,139.652,0.276,1ed3591d-ed11-444e-8d83-18855c664eec
31,d60f78d2-2deb-4e76-a927-bfcf35f8e993,0.0404,0.49,0.985,1.77e-05,0.304,-2.386,0.0639,82.043,0.886,d60f78d2-2deb-4e76-a927-bfcf35f8e993
32,30622c31-f876-4aff-8897-f3e4c10d09e8,0.00575,0.637,0.793,0.0,0.597,-4.538,0.0821,122.251,0.81,30622c31-f876-4aff-8897-f3e4c10d09e8
33,f9278452-4660-485f-a17c-752d1e994b9a,0.0267,0.658,0.792,0.000108,0.112,-3.021,0.0251,93.49,0.573,f9278452-4660-485f-a17c-752d1e994b9a
34,c7363fbe-6f6a-4838-8aaa-20899f90cf70,0.191,0.806,0.461,0.703,0.24,-8.564,0.0355,124.996,0.548,c7363fbe-6f6a-4838-8aaa-20899f90cf70
35,cf66fa43-4cbb-429a-ac01-7f64a9d0d831,0.208,0.412,0.643,2.45e-05,0.133,-5.63,0.0355,131.314,0.592,cf66fa43-4cbb-429a-ac01-7f64a9d0d831
36,12b15ba8-cf29-4b25-a519-e5e8ef4c7bba,0.0176,0.636,0.809,0.0488,0.109,-7.48,0.0368,176.973,0.882,12b15ba8-cf29-4b25-a519-e5e8ef4c7bba
37,1b0d0f89-a31c-4c83-9f34-0b8af88a27fd,0.445,0.486,0.487,1.44e-05,0.0648,-11.633,0.0341,81.972,0.373,1b0d0f89-a31c-4c83-9f34-0b8af88a27fd
38,3732e126-72c0-4437-9e57-0da47f6ad212,0.385,0.481,0.632,0.0817,0.116,-7.117,0.0333,103.323,0.156,3732e126-72c0-4437-9e57-0da47f6ad212
39,2f9e8ce3-2aa0-417a-86e0-e451ff87d24f,0.00189,0.503,0.785,1.15e-05,0.154,-8.306,0.0387,83.986,0.394,2f9e8ce3-2aa0-417a-86e0-e451ff87d24f
40,551e7590-0ba2-490e-a64e-5f57b6fc1b3e,0.121,0.823,0.539,1.8e-05,0.154,-7.502,0.246,90.658,0.841,551e7590-0ba2-490e-a64e-5f57b6fc1b3e
41,e391894e-e78e-4d47-ac27-03daa5569f06,0.866,0.464,0.446,0.961,0.086,-9.559,0.0353,120.002,0.182,e391894e-e78e-4d47-ac27-03daa5569f06
42,0700db80-45d8-4ae4-84c1-74c1b5dd0f71,0.107,0.476,0.585,1.43e-05,0.149,-14.211,0.0478,110.275,0.523,0700db80-45d8-4ae4-84c1-74c1b5dd0f71
43,0ce0d9b5-2d2b-497a-91b1-4fcea98fc070,0.096,0.426,0.87,0.0,0.112,-3.821,0.0621,169.946,0.414,0ce0d9b5-2d2b-497a-91b1-4fcea98fc070
44,93b3dc75-04f0-42a1-9d26-e3f1031cb1a9,0.243,0.506,0.343,0.0,0.141,-12.153,0.03,130.052,0.265,93b3dc75-04f0-42a1-9d26-e3f1031cb1a9
45,8bcb7d29-4a84-4f11-93d2-c3be254a6eee,0.117,0.643,0.836,0.0,0.0791,-6.724,0.21,147.927,0.628,8bcb7d29-4a84-4f11-93d2-c3be254a6eee
46,8b533377-887c-41f7-aeab-692d3a80df62,0.0103,0.53,0.755,0.469,0.191,-7.473,0.0328,140.035,0.539,8b533377-887c-41f7-aeab-692d3a80df62
47,4430196f-174d-42c9-bd8c-639f51837124,0.00565,0.423,0.845,0.714,0.131,-7.921,0.0371,75.989,0.583,4430196f-174d-42c9-bd8c-639f51837124
48,a9c66415-ff80-4b70-b899-9072cb46a483,0.209,0.563,0.585,0.00221,0.118,-8.821,0.0386,161.679,0.625,a9c66415-ff80-4b70-b899-9072cb46a483
49,6590db41-4a01-4368-9918-7e5d905381f1,0.0164,0.407,0.525,0.135,0.0868,-13.609,0.0878,90.745,0.739,6590db41-4a01-4368-9918-7e5d905381f1
50,29c4f00b-d059-4877-80bc-4979a29299e2,0.15,0.547,0.366,0.00266,0.117,-8.534,0.0295,111.75,0.0785,29c4f00b-d059-4877-80bc-4979a29299e2
51,86646e9d-c87e-49ff-b84c-429782f4c8f5,0.954,0.359,0.279,1.02e-05,0.384,-13.281,0.0622,179.897,0.18,86646e9d-c87e-49ff-b84c-429782f4c8f5
52,1199e25c-8f42-4d7e-8083-d9bc9cb3e78d,0.699,0.374,0.542,8.79e-05,0.102,-8.136,0.0552,183.745,0.419,1199e25c-8f42-4d7e-8083-d9bc9cb3e78d
53,4259e0bf-42b3-4484-85ef-19555be4c847,0.0583,0.502,0.625,0.0,0.114,-6.243,0.099,115.944,0.641,4259e0bf-42b3-4484-85ef-19555be4c847
54,522dbcd6-de9b-4c65-a361-73d9865a3704,0.585,0.582,0.464,0.0,0.0892,-9.657,0.0304,124.97,0.446,522dbcd6-de9b-4c65-a361-73d9865a3704
55,653024c7-ddb8-42a4-949a-40b093d078ea,0.884,0.563,0.408,0.0322,0.0992,-11.275,0.0304,134.022,0.272,653024c7-ddb8-42a4-949a-40b093d078ea
56,13d2b900-d83b-41d0-9d65-1d5baa8d48bb,0.11,0.78,0.585,0.314,0.083,-8.766,0.0389,90.024,0.707,13d2b900-d83b-41d0-9d65-1d5baa8d48bb
57,7309d79e-7920-4865-bf88-d77eb729f501,0.387,0.46,0.405,0.0346,0.119,-9.627,0.0257,155.528,0.161,7309d79e-7920-4865-bf88-d77eb729f501
58,e9748d58-5ea4-44be-80ed-e3c83f2c80ab,0.786,0.554,0.167,0.00203,0.117,-11.794,0.0275,67.913,0.25,e9748d58-5ea4-44be-80ed-e3c83f2c80ab
59,316d3c3b-a2b3-4940-96cc-6fe48a382d61,0.00296,0.589,0.789,7.9e-05,0.0596,-7.422,0.0762,150.053,0.543,316d3c3b-a2b3-4940-96cc-6fe48a382d61
60,fb4406db-31b6-4214-acf9-e72a3a077eaa,0.0298,0.547,0.549,0.716,0.153,-6.431,0.0279,114.797,0.145,fb4406db-31b6-4214-acf9-e72a3a077eaa
61,0bee4f42-82b6-41d8-9ac7-0bf2da3f010d,0.273,0.41,0.763,1.29e-05,0.0553,-7.904,0.337,171.956,0.649,0bee4f42-82b6-41d8-9ac7-0bf2da3f010d
62,e226ad52-f830-4b32-a3ad-a229976831e7,0.922,0.662,0.392,0.00688,0.315,-7.562,0.0706,131.868,0.554,e226ad52-f830-4b32-a3ad-a229976831e7
63,05073121-d55a-4ff4-a98b-9a1d926db4ed,0.0186,0.467,0.761,1.24e-06,0.0666,-5.893,0.0386,145.244,0.258,05073121-d55a-4ff4-a98b-9a1d926db4ed
64,4e279049-52c8-4191-b576-76737807cc06,0.0696,0.585,0.595,0.266,0.0837,-10.444,0.0328,140.037,0.039,4e279049-52c8-4191-b576-76737807cc06
65,4d98ac94-615d-4f80-b7c7-5ec8b1f9414b,0.135,0.482,0.55,0.0,0.294,-7.098,0.0356,67.559,0.105,4d98ac94-615d-4f80-b7c7-5ec8b1f9414b
66,8d4f8d7d-ebe2-4839-a5fe-ad0c4f4bbc61,0.387,0.57,0.541,0.938,0.124,-7.184,0.0256,103.027,0.041,8d4f8d7d-ebe2-4839-a5fe-ad0c4f4bbc61
67,98f9dfcb-4b1c-4c9d-9b7a-26574758eda4,0.00441,0.551,0.632,2.06e-05,0.0861,-6.738,0.0288,121.095,0.494,98f9dfcb-4b1c-4c9d-9b7a-26574758eda4
68,1d5b088c-708f-47fe-9724-7bb599d1ea72,0.162,0.574,0.562,9.98e-05,0.106,-6.65,0.0688,201.353,0.853,1d5b088c-708f-47fe-9724-7bb599d1ea72
69,d98369da-f99f-4381-8423-6843d80cbb5d,0.00152,0.361,0.901,0.000246,0.286,-4.133,0.0443,144.974,0.481,d98369da-f99f-4381-8423-6843d80cbb5d
70,62a75fe4-bc33-4f2d-be16-591f16a15f05,0.0186,0.754,0.804,0.0613,0.207,-7.189,0.0368,132.964,0.972,62a75fe4-bc33-4f2d-be16-591f16a15f05
71,e4af27e6-3b13-47ec-94ea-378c7ce5990a,0.0943,0.714,0.862,0.0,0.113,-4.785,0.285,168.01,0.612,e4af27e6-3b13-47ec-94ea-378c7ce5990a
72,5e18ea93-d266-47b1-babe-0353643778fd,0.0508,0.76,0.627,4.07e-05,0.0746,-6.001,0.18,120.042,0.674,5e18ea93-d266-47b1-babe-0353643778fd
73,86935e8c-fdfb-47a9-8484-64337998574d,0.851,0.289,0.324,0.00368,0.112,-9.866,0.0301,77.94,0.244,86935e8c-fdfb-47a9-8484-64337998574d
74,de61fdd3-b238-4e63-9738-a312a59290b0,0.713,0.561,0.454,2.96e-06,0.0967,-6.886,0.0343,124.037,0.2,de61fdd3-b238-4e63-9738-a312a59290b0
75,4d737025-b2d5-448e-9dc4-187c2f1f3097,0.104,0.383,0.625,0.224,0.127,-8.018,0.028,77.16,0.434,4d737025-b2d5-448e-9dc4-187c2f1f3097
76,8e907f05-9fce-499c-be08-875a66fd73d6,0.201,0.721,0.724,0.0,0.256,-6.775,0.0259,112.002,0.825,8e907f05-9fce-499c-be08-875a66fd73d6
77,b66f11f6-8cbf-45f0-94f4-270228d70157,0.814,0.631,0.267,0.884,0.111,-13.962,0.0296,109.169,0.139,b66f11f6-8cbf-45f0-94f4-270228d70157
78,a38a9202-bde8-484f-a740-321456396bba,0.0601,0.66,0.738,5.5e-06,0.166,-9.435,0.0317,137.039,0.767,a38a9202-bde8-484f-a740-321456396bba
79,8a5ce8c1-062e-4af9-bea3-95562b910228,0.000208,0.347,0.572,0.921,0.108,-9.212,0.038,180.07,0.0473,8a5ce8c1-062e-4af9-bea3-95562b910228
80,35845684-c11a-433c-941b-66a16c9f7865,0.818,0.578,0.326,0.634,0.115,-15.136,0.034,91.568,0.266,35845684-c11a-433c-941b-66a16c9f7865
81,7dd7fb68-3967-4129-9f3c-8f52c690c119,0.816,0.463,0.262,0.0,0.215,-11.655,0.0404,130.228,0.157,7dd7fb68-3967-4129-9f3c-8f52c690c119
82,51d17525-0058-4a74-a6d3-6302fc4d4b99,0.2,0.361,0.754,8.45e-06,0.152,-5.877,0.0523,157.55,0.525,51d17525-0058-4a74-a6d3-6302fc4d4b99
83,5e8624be-5bca-401f-84a7-d0ced2990033,0.00307,0.652,0.877,0.699,0.186,-6.281,0.0339,124.024,0.562,5e8624be-5bca-401f-84a7-d0ced2990033
84,cef49e65-4098-4977-91f5-c44c71821843,0.0459,0.488,0.416,0.0,0.185,-9.253,0.0277,82.387,0.0729,cef49e65-4098-4977-91f5-c44c71821843
85,aa040302-e076-4e28-8757-53100ca2a89f,0.736,0.685,0.324,0.0,0.244,-8.298,0.0796,121.389,0.236,aa040302-e076-4e28-8757-53100ca2a89f
86,2219b4a3-7165-441c-b305-4414df281e22,0.000888,0.359,0.503,0.0702,0.111,-8.022,0.0315,145.784,0.126,2219b4a3-7165-441c-b305-4414df281e22
87,32e6e8f9-b4c4-4dda-b2ee-8646e44f3368,0.726,0.689,0.591,1.37e-06,0.0984,-11.181,0.425,90.895,0.235,32e6e8f9-b4c4-4dda-b2ee-8646e44f3368
88,56b3ef13-3f7e-4ba5-8d94-6b3c3625ac35,0.0377,0.435,0.866,0.00341,0.0871,-4.396,0.166,100.178,0.489,56b3ef13-3f7e-4ba5-8d94-6b3c3625ac35
89,a94888c3-8e0a-4640-873f-e5d2cdf98836,0.104,0.487,0.458,0.826,0.0813,-8.447,0.0282,112.932,0.125,a94888c3-8e0a-4640-873f-e5d2cdf98836
90,51d1cb38-d167-45fc-ab62-4b9cc8e4f646,0.843,0.547,0.198,8.82e-05,0.102,-10.753,0.0287,133.869,0.117,51d1cb38-d167-45fc-ab62-4b9cc8e4f646
91,89f4f55c-ab05-4fc1-ae70-0b1b46716e2a,0.125,0.408,0.418,0.0162,0.125,-10.615,0.0285,203.886,0.3,89f4f55c-ab05-4fc1-ae70-0b1b46716e2a
92,533ec88f-4e4d-44d0-a2fe-87eda95071c0,0.663,0.365,0.318,0.000622,0.101,-11.775,0.036,164.885,0.0489,533ec88f-4e4d-44d0-a2fe-87eda95071c0
93,0d466d59-7001-471f-a612-eaf22894edbe,0.307,0.756,0.594,0.000451,0.426,-9.573,0.133,96.948,0.514,0d466d59-7001-471f-a612-eaf22894edbe
94,b96d700b-4779-4cf2-87b5-dbe807d32e20,0.716,0.709,0.446,2.39e-05,0.11,-9.904,0.037,140.993,0.843,b96d700b-4779-4cf2-87b5-dbe807d32e20
95,54f2525d-3ad4-40a3-9bd7-b4bbd7675b42,0.0698,0.527,0.716,8.71e-05,0.0737,-6.029,0.0616,99.426,0.331,54f2525d-3ad4-40a3-9bd7-b4bbd7675b42
96,eb6bd4a8-8105-4941-8c85-e4444d5ac725,0.553,0.8,0.594,0.0,0.101,-5.671,0.237,147.999,0.773,eb6bd4a8-8105-4941-8c85-e4444d5ac725
97,da050d28-b43f-4382-bed1-05123423236b,0.0948,0.588,0.446,0.0321,0.101,-7.147,0.0342,75.966,0.326,da050d28-b43f-4382-bed1-05123423236b
98,7b317e3f-deb8-4286-98ac-2458230632f4,0.0392,0.771,0.629,0.13,0.0686,-7.155,0.157,148.032,0.288,7b317e3f-deb8-4286-98ac-2458230632f4
99,5eea6035-dca0-466c-9746-04a1ba180d2a,0.114,0.708,0.619,1.75e-05,0.365,-5.257,0.0676,136.135,0.327,5eea6035-dca0-466c-9746-04a1ba180d2a
100,f1644966-57b9-4756-a91b-a0e39814445e,0.506,0.593,0.392,0.000152,0.196,-10.405,0.0296,76.984,0.448,f1644966-57b9-4756-a91b-a0e39814445e
101,494d47df-d572-4daf-9792-f196cf613fbd,0.985,0.415,0.0311,0.946,0.159,-28.477,0.0435,120.497,0.076,494d47df-d572-4daf-9792-f196cf613fbd
102,c932a967-044c-4fbe-8737-38fdb45b1c7c,0.888,0.576,0.382,0.000555,0.132,-9.98,0.0361,102.575,0.55,c932a967-044c-4fbe-8737-38fdb45b1c7c
103,95ad09b1-e5d3-46cd-9d98-5f19f8a15ee3,0.011,0.712,0.528,0.00269,0.321,-9.951,0.103,100.009,0.501,95ad09b1-e5d3-46cd-9d98-5f19f8a15ee3
104,3fc145bf-60b6-4c86-9669-fa84f4ad1f50,0.989,0.342,0.0311,0.913,0.0989,-22.175,0.0395,132.764,0.133,3fc145bf-60b6-4c86-9669-fa84f4ad1f50
105,a1954a03-ec4b-4b17-910d-bc6c2fadb5fa,0.52,0.79,0.481,0.0,0.122,-9.019,0.55,93.23,0.553,a1954a03-ec4b-4b17-910d-bc6c2fadb5fa
106,71ec149d-963a-4987-af13-4e2a2888d13a,0.00436,0.767,0.599,0.0381,0.0714,-5.176,0.0404,137.035,0.788,71ec149d-963a-4987-af13-4e2a2888d13a
107,4be756af-3ac0-4484-9f73-6a2eaa70739e,0.755,0.281,0.169,0.416,0.138,-13.873,0.0307,138.267,0.155,4be756af-3ac0-4484-9f73-6a2eaa70739e
108,aa807f10-402c-4927-8fa1-66505fc738ff,0.0198,0.541,0.517,0.000181,0.142,-13.24,0.0498,125.885,0.138,aa807f10-402c-4927-8fa1-66505fc738ff
109,b0cd8876-f4fb-4e74-88a0-e91eb315a9a0,0.0971,0.624,0.762,5.24e-06,0.333,-5.875,0.36,174.104,0.568,b0cd8876-f4fb-4e74-88a0-e91eb315a9a0
110,4a3f1e97-a026-4cac-a772-d16812d26f40,0.984,0.508,0.225,0.894,0.351,-17.535,0.0622,119.549,0.0444,4a3f1e97-a026-4cac-a772-d16812d26f40
111,b6095018-5fa4-424b-a957-ad217a3b9865,0.0534,0.846,0.779,0.0,0.299,-5.363,0.254,91.118,0.748,b6095018-5fa4-424b-a957-ad217a3b9865
112,7c951bfb-9da3-4745-93a1-0927d0dd13e1,0.0649,0.659,0.386,0.689,0.0917,-13.579,0.053,69.541,0.576,7c951bfb-9da3-4745-93a1-0927d0dd13e1
113,c835414d-8bd8-4e42-9c70-6dc1e9c345c4,0.346,0.627,0.539,0.0,0.192,-8.529,0.0328,112.259,0.754,c835414d-8bd8-4e42-9c70-6dc1e9c345c4
114,c336d39d-ddcb-47fb-8d06-3ab47e9496fc,0.128,0.707,0.8,2.59e-05,0.3,-5.567,0.0544,124.991,0.354,c336d39d-ddcb-47fb-8d06-3ab47e9496fc
115,8b559909-cb97-4d90-b128-876d0b5f0792,0.249,0.761,0.501,0.0,0.136,-10.759,0.459,81.998,0.502,8b559909-cb97-4d90-b128-876d0b5f0792
116,27352e53-f129-433e-9c4a-82d64cbf01ac,0.0206,0.874,0.672,0.0,0.0783,-5.568,0.198,103.921,0.711,27352e53-f129-433e-9c4a-82d64cbf01ac
117,a8e512b0-b95e-4ae2-8cf8-21ad5f44297e,0.251,0.707,0.575,0.0,0.248,-7.546,0.125,138.008,0.576,a8e512b0-b95e-4ae2-8cf8-21ad5f44297e
118,d02360fa-42bc-4f9c-90b9-535f0ecfc4f7,0.51,0.817,0.348,0.000119,0.11,-10.213,0.29,91.997,0.634,d02360fa-42bc-4f9c-90b9-535f0ecfc4f7
119,8251bcb3-84f2-42cb-8097-187cbbb615df,0.00443,0.806,0.358,0.00162,0.412,-8.769,0.117,102.011,0.188,8251bcb3-84f2-42cb-8097-187cbbb615df
120,8de09273-20bf-4ebe-856c-d69c4f04391b,0.0837,0.855,0.529,0.0,0.423,-6.679,0.263,100.036,0.548,8de09273-20bf-4ebe-856c-d69c4f04391b
121,eb5d344d-3c31-4769-aba1-51d56e1cd818,0.0552,0.796,0.536,0.0,0.112,-7.93,0.109,83.492,0.662,eb5d344d-3c31-4769-aba1-51d56e1cd818
122,2173498b-174c-4b2a-9159-c3c3775cec5a,0.00306,0.889,0.298,1.26e-05,0.173,-9.086,0.182,100.042,0.314,2173498b-174c-4b2a-9159-c3c3775cec5a
123,41469568-9ae2-4faf-9208-4ca11bcdabdb,0.27,0.704,0.647,0.0,0.109,-7.664,0.325,80.998,0.585,41469568-9ae2-4faf-9208-4ca11bcdabdb
124,960c7bb9-e1e7-4735-aecc-3dc9230c9d5a,0.134,0.75,0.556,0.0,0.107,-7.275,0.436,179.911,0.736,960c7bb9-e1e7-4735-aecc-3dc9230c9d5a
125,48e6bcc9-c045-46dc-adae-dfc1f53c011a,0.22,0.719,0.555,0.0,0.127,-9.785,0.27,140.07,0.413,48e6bcc9-c045-46dc-adae-dfc1f53c011a
126,bfaff15e-d9f7-4a3c-9c5b-789fd6fd3ec9,0.00151,0.483,0.952,0.000265,0.291,-5.747,0.0531,83.977,0.798,bfaff15e-d9f7-4a3c-9c5b-789fd6fd3ec9
127,91309352-c3a5-43c6-a3ec-7ef8c163b223,0.084,0.454,0.944,0.0119,0.11,-5.003,0.0849,113.321,0.288,91309352-c3a5-43c6-a3ec-7ef8c163b223
128,47b838b7-95c9-4f33-be78-f5bd4eb8e885,0.162,0.698,0.605,1.46e-06,0.0774,-8.458,0.189,95.987,0.163,47b838b7-95c9-4f33-be78-f5bd4eb8e885
129,d643d8aa-2598-4a30-b531-0f740a141776,0.586,0.606,0.278,0.0,0.116,-11.875,0.129,104.26,0.275,d643d8aa-2598-4a30-b531-0f740a141776
130,cb7bfd28-9d31-46b4-9f4a-64cc206efe32,0.0014,0.179,0.912,0.000294,0.582,-3.881,0.0791,182.99,0.289,cb7bfd28-9d31-46b4-9f4a-64cc206efe32
131,cddb1487-7324-4815-a50f-67cd42a61f20,0.989,0.482,0.132,0.918,0.1,-17.051,0.0316,105.027,0.0977,cddb1487-7324-4815-a50f-67cd42a61f20
132,9767e35c-8b77-444a-a0bf-582eb24a78ac,0.228,0.274,0.924,0.0,0.511,-6.059,0.134,146.596,0.743,9767e35c-8b77-444a-a0bf-582eb24a78ac
133,732e3a1a-bb1d-435f-b519-7eef04264687,0.17,0.375,0.825,0.0,0.252,-7.718,0.358,176.704,0.587,732e3a1a-bb1d-435f-b519-7eef04264687
134,637bea67-bbea-4309-a531-ffd78dd5dc69,0.478,0.443,0.93,0.0,0.139,-7.102,0.373,82.166,0.733,637bea67-bbea-4309-a531-ffd78dd5dc69
135,da160a61-899b-4a32-9d4b-6b5cbf280a34,0.288,0.521,0.877,0.0,0.137,-5.534,0.371,79.966,0.782,da160a61-899b-4a32-9d4b-6b5cbf280a34
136,75f2d574-1c11-475a-81b5-47dd0fe49f32,0.0147,0.441,0.791,0.00404,0.299,-5.457,0.0344,133.503,0.374,75f2d574-1c11-475a-81b5-47dd0fe49f32
137,cdb0a37d-e916-456b-834e-76460862b7d3,0.233,0.735,0.661,1.78e-05,0.201,-6.626,0.0337,80.977,0.549,cdb0a37d-e916-456b-834e-76460862b7d3
138,9d5c91be-9322-4ce4-82bb-b4cdd72f220d,0.886,0.507,0.726,0.341,0.154,-11.719,0.0375,127.825,0.751,9d5c91be-9322-4ce4-82bb-b4cdd72f220d
139,d42779ea-fc7e-42ce-a7c1-abb90ee091d3,0.204,0.434,0.885,0.0,0.0811,-7.367,0.0396,93.999,0.843,d42779ea-fc7e-42ce-a7c1-abb90ee091d3
140,555626f6-e52a-4479-8684-9052c0b0f7c1,0.363,0.778,0.605,0.0493,0.214,-8.583,0.0422,129.815,0.974,555626f6-e52a-4479-8684-9052c0b0f7c1
141,226ee044-dccf-450d-bbf4-b4164216f250,0.0939,0.659,0.568,0.0378,0.107,-6.156,0.0262,82.992,0.371,226ee044-dccf-450d-bbf4-b4164216f250
142,532e5971-7607-4050-b99c-2eef51518abe,0.00325,0.279,0.817,0.0346,0.0855,-5.331,0.0458,156.64,0.366,532e5971-7607-4050-b99c-2eef51518abe
143,345d0a8e-2d10-49ea-863e-07e0e03290c4,0.508,0.392,0.125,0.00936,0.111,-10.916,0.0318,132.114,0.0549,345d0a8e-2d10-49ea-863e-07e0e03290c4
144,357b0ce5-9cd7-41e7-97b9-a5473f78fc87,0.993,0.376,0.0207,0.954,0.0938,-35.713,0.0678,75.607,0.429,357b0ce5-9cd7-41e7-97b9-a5473f78fc87
145,ca5ca74a-67cc-402b-9bc4-cc3209cce083,0.000259,0.456,0.803,0.000368,0.291,-4.265,0.0786,186.15,0.333,ca5ca74a-67cc-402b-9bc4-cc3209cce083
